variable,estimate,p_value,adj_r2,rmse,district,theme
is_primary_school_with_computer_,2.4229531860407056,0.01661287125667043,0.0059235348919103314,14.085192025585428,aurangabad,Facilities
is_village_connected_to_all_weat,0.9146400162121807,0.393065162419021,-3.377487875153573e-4,14.129480846039197,aurangabad,Facilities
is_atm_available,4.966884540513358,0.005832964964938704,0.008244747317067369,14.068737641989326,aurangabad,Facilities
recreational_centre,-1.6032730205302737,0.16920929964867307,0.0011168507168415331,14.119204210585893,aurangabad,Facilities
total_hhd_having_bpl_cards,0.014308302408229473,7.615587221521371e-11,0.05053451867916181,13.765515072537719,aurangabad,Others
gp_total_hhd_receiving_food_grai,0.01093969541440115,6.833301876065423e-6,0.023837392868052754,13.957703226746496,aurangabad,Others
total_hhd_availing_pmjdy_bank_ac,0.015588838269569852,1.3110607592495084e-9,0.04389515784066844,13.81356052852671,aurangabad,Others
total_hhd_registered_under_pmjay,0.018762350535011765,1.0251258087433101e-4,0.017513898204942424,14.002838629826071,aurangabad,Others
total_no_of_beneficiaries_receiv,0.13819739964198352,2.52142004918208e-4,0.015425102732790408,14.017715958001858,aurangabad,Others
total_no_of_farmers_received_ben,0.010373865795043746,8.305359230496453e-9,0.039576063304918696,13.844725963413078,aurangabad,Others
total_shg,0.07298857920855067,8.10699810080943e-9,0.03963267101075185,13.84431795102749,aurangabad,Others
total_shg_accessed_bank_loans,0.1499407680013919,3.5546441057081064e-4,0.014630604695915372,14.023370582144773,aurangabad,Others
total_hhd_having_pmsbhgy_benefit,0.009808692290005479,0.06863023653813276,0.002900777436235291,14.106590682417638,aurangabad,Others
total_hhd_got_benefit_under_stat,0.010297194714029278,0.3289561686027813,-5.73625932100974e-5,14.127500520387098,aurangabad,Others
gp_total_no_of_eligible_benefici,0.01089774967878266,0.0025860693009290194,0.010080413506296293,14.055711511149044,aurangabad,Others
total_no_of_farmers_subscribed_a,0.004296443975916169,0.2368644019815074,5.019567294642924e-4,14.123549302452725,aurangabad,Others
availability_of_high_school,4.967429375554203,1.4977651865317514e-5,0.03771558145532117,10.7418822088336,bhandara,Education
availability_of_middle_school,4.937273465076319,1.0597296176971053e-6,0.048241709942360766,10.682969613192762,bhandara,Education
no_of_children_not_attending_sch,0.051975008755069295,0.0015895816129111436,0.019257259217076217,10.844417022919108,bhandara,Education
total_minority_children_getting_,0.014323343333185062,0.003313334289488457,0.01639392605055756,10.860235925651992,bhandara,Education
availability_of_mid_day_meal_sch,4.641058895249423,0.11926679882809241,0.0030918133940128767,10.933425251141983,bhandara,Education
is_vocational_edu_centre_availab,1.5187215103914538,0.5759965667628817,-0.0014855808337910226,10.9584974099663,bhandara,Education
availability_of_adult_edu_centre,9.12996898465431,1.7209494836135843e-6,0.04631639655136133,10.693769452491006,bhandara,Education
availability_of_ssc_school,4.845379590517096,3.495252322162337e-4,0.025216178471133333,10.811421895788593,bhandara,Education
is_early_childhood_edu_provided_,4.572983995935683,0.1927262388278838,0.0015130762094059946,10.942079095528205,bhandara,Education
availability_of_govt_degree_coll,-0.052798085142451635,0.982840437804891,-0.002163497627159172,10.962205747263923,bhandara,Education
availability_of_public_library,2.941141221101057,0.01178293114416661,0.011515828133196515,10.88713275666042,bhandara,Education
total_no_of_pregnant_women,0.00900091427034069,0.48981421988842655,-0.0011293570657437968,10.956548293321017,bhandara,Health
total_no_of_women_delivered_babi,0.2898633549095167,2.01667174796626e-5,0.03653280279439741,10.748481799911252,bhandara,Health
total_anemic_pregnant_women,-0.0047985373733144985,0.7523019078167612,-0.0019482255790548297,10.9610283030491,bhandara,Health
total_no_of_newly_born_children,0.15326303222652796,1.4748699280950579e-6,0.04692924572087054,10.690332924427562,bhandara,Health
total_no_of_newly_born_underweig,0.41423146799090793,3.9641275325922877e-4,0.024718935059532487,10.814179031674811,bhandara,Health
total_underweight_child_age_unde,0.036897534284909675,0.44003378225780687,-8.706808438481151e-4,10.955132701220274,bhandara,Health
total_no_of_lactating_mothers,0.14344646690990534,6.057673616686767e-4,0.023046206984856044,10.823448888266746,bhandara,Health
total_anemic_adolescent_girls,0.017952552718902583,0.5686574427313706,-0.0014591445387450719,10.958352772845117,bhandara,Health
phc,2.2063846605700017,0.40357436489856957,-6.506741292706675e-4,10.953928582014903,bhandara,Health
sub_centre,3.782085365047919,0.005882335332897879,0.014174092284168993,10.87248388370285,bhandara,Health
chc,2.2067014633932045,0.13290265820858985,0.0027274267703769617,10.935423243523813,bhandara,Health
availability_of_mother_child_hea,2.439017814879883,0.017388500814813367,0.010044304354156042,10.895233400689001,bhandara,Health
total_hhd_having_piped_water_con,0.014530422095692068,7.131924781783146e-6,0.04066592681898584,10.72540236616082,bhandara,Facilities
no_electricity,-7.3438361492947175,0.10346899419016979,0.003576258042626068,10.930768395148052,bhandara,Facilities
is_bank_available,4.764616078051426,6.691338604439884e-4,0.02265431663696027,10.8256195026304,bhandara,Facilities
public_transport,2.8386131265965795,0.010715313613121207,0.011877072738834094,10.885143206659981,bhandara,Facilities
telephone_services,1.4303524711244924,0.4711184367790411,-0.0010373460473764862,10.956044788792028,bhandara,Facilities
is_broadband_available,3.445860372727843,0.0011146504814362804,0.02064810873059597,10.836724738889883,bhandara,Facilities
weekly_haat,3.8709428474539704,6.653292007790472e-4,0.022676771617366365,10.825495140045984,bhandara,Facilities
any_primary_sch_toilet,1.0008510251933074,0.7984772301880319,-0.002022955243298652,10.96143705605212,bhandara,Facilities
is_primary_school_with_computer_,3.5863930481810633,4.7487525091517274e-4,0.02400607824400869,10.818130483903063,bhandara,Facilities
is_village_connected_to_all_weat,2.9121198688024417,0.01399125575825683,0.010864488590191734,10.890719082324818,bhandara,Facilities
is_atm_available,4.7278435230159825,0.024520387041884743,0.008757950330650743,10.902309766583613,bhandara,Facilities
recreational_centre,2.709119774075136,0.007741464649688437,0.013118982783218436,10.878300627371662,bhandara,Facilities
total_hhd_having_bpl_cards,0.030154926518961865,2.985357713999387e-11,0.08933694217404986,10.449788932433346,bhandara,Others
gp_total_hhd_receiving_food_grai,0.012706490926771829,8.074344506255647e-6,0.040172439326539355,10.7281606187722,bhandara,Others
total_hhd_availing_pmjdy_bank_ac,0.011772596907342833,7.793683222410485e-5,0.031161358642946113,10.778402187296225,bhandara,Others
