variable,estimate,std_error,t_value,p_value,district
is_primary_school_with_computer_,2.2529549413040475,0.9776452605629278,2.304470785248626,0.02145575232972167,kolhapur
is_vocational_edu_centre_availab,5.550284238582338,2.1658518430255906,2.562633384391085,0.010573113301384145,kolhapur
phc,3.45632827766546,1.706578977168171,2.0252964110695615,0.043174002395047886,kolhapur
total_anemic_pregnant_women,-0.10005119212966465,0.04417249486152426,-2.2650111215885302,0.023783108799541063,kolhapur
total_hhd_got_benefit_under_stat,0.03229184984029229,0.01472376394175935,2.1931789974373714,0.028586391304886754,kolhapur
total_no_of_pregnant_women,0.027278159379873143,0.00849543972338585,3.210917888662443,0.0013768510115385287,kolhapur
weekly_haat,2.927470960278947,1.178370207497513,2.484338912892216,0.013186152512725735,kolhapur
availability_of_high_school,2.9667694689812363,1.1328612093670583,2.6188287183377055,0.009046171777148948,latur
availability_of_mother_child_hea,2.173677927000284,0.9471383917435424,2.2949950566346096,0.02207766517816175,latur
no_of_children_not_attending_sch,-0.026007320796315177,0.007242605732116331,-3.590878995523575,3.5654204248502456e-4,latur
sub_centre,4.838631940632952,1.483255909076461,3.2621693337097124,0.0011683714305623985,latur
total_hhd_registered_under_pmjay,-0.008997987329603637,0.0035445645616327503,-2.5385310870057474,0.011383496646446827,latur
total_no_of_beneficiaries_receiv,0.10314847670219676,0.0479103807075109,2.1529462963759376,0.031720826798964895,latur
total_no_of_lactating_mothers,0.10489287579872843,0.023274187418434452,4.506832995408787,7.91322814191581e-6,latur
availability_of_middle_school,2.2377090716254866,0.7508055327800537,2.9804110038185043,0.0029593068907101767,nagpur
availability_of_public_library,-3.1224906539287223,1.0933445733452132,-2.8559072135649823,0.004394272191173271,nagpur
availability_of_ssc_school,4.605170345510844,1.258637025038017,3.658854978759063,2.6869799194252994e-4,nagpur
is_atm_available,-3.5587003665548687,1.4163254921640633,-2.512628902214688,0.012164645189289934,nagpur
no_electricity,11.365474244390018,4.573158282706706,2.485257133427526,0.013133989045467817,nagpur
telephone_services,2.618319127577934,1.1585708580343843,2.2599559702547145,0.02407224481735839,nagpur
total_hhd_got_benefit_under_stat,0.01558447647545074,0.007072979674751343,2.203382052840216,0.02783103256541593,nagpur
total_no_of_pregnant_women,0.08296150587699333,0.039880895453120534,2.0802317734944915,0.037798489192828674,nagpur
total_shg_accessed_bank_loans,0.18117797695468932,0.04705325208280638,3.850487882024485,1.2658306363215468e-4,nagpur
weekly_haat,2.0233043498355894,0.7691274916614297,2.6306488479107037,0.008673937567855615,nagpur
availability_of_public_library,2.6296393132474987,0.9544964903804826,2.755001552912226,0.0059779469025380925,nanded
gp_total_hhd_receiving_food_grai,0.008656816108811067,0.003067478439555603,2.822127776736782,0.004867091573160572,nanded
gp_total_no_of_eligible_benefici,-0.01541803489156387,0.003998367467293449,-3.8560825180984564,1.227359830049117e-4,nanded
is_village_connected_to_all_weat,-1.8227894555485307,0.8996048812064591,-2.0262111662889044,0.04301361598933881,nanded
